Domain,URL,Company Name,Segment,Opus Verdict,Opus Reason,Employees,Country,GPT Reasoning,Short Description,Source Sheet,Scrape Status
moreniche.com,https://moreniche.com,MoreNiche,AFFILIATE_PERFORMANCE,GOOD,Health/fitness affiliate network with dedicated Influencer section connecting creators with brands,40,United Kingdom,"MoreNiche is a performance and affiliate marketing agency that connects affiliates with advertisers, focusing on maximizing return on investment through conversion-based monetization.",,MIXED,success
traffstreamer.com,https://traffstreamer.com,Traffic Streamer,AFFILIATE_PERFORMANCE,GOOD,Affiliate marketing company with explicit influencer marketing as core service and data-driven creator-brand matching,17,Malta,Specializes in affiliate marketing with tailor-made commission structures and a focus on optimizing conversions for partners.,,MIXED,success
wearepion.com,https://wearepion.com,Student Beans (now Pion),AFFILIATE_PERFORMANCE,GOOD,Platform connecting brands with Gen Z consumers through gated offers and influencer marketing with authentic creator campaigns,550,United Kingdom,"Focuses on online affiliate promotions and connects brands with verified consumer groups, monetizing through performance-driven marketing.",,MIXED,success
lomadee.com.br,https://lomadee.com.br,Lomadee,AFFILIATE_PERFORMANCE,GOOD,Brazilian affiliate platform explicitly connecting content creators and influencers with 350+ brands for commission-based promotion,84,Brazil,"The platform focuses on performance-based promotions, connecting brands with affiliates who earn commissions by promoting products.",,US,success
unrulyagency.com,https://unrulyagency.com,Unruly Agency,IM_FIRST_AGENCIES,GOOD,"Dedicated influencer marketing agency connecting brands with creators for social media campaigns at scale, global offices",43,United States,Apollo description contains 'influencer agency',,US,success
creatordeck.com,https://creatordeck.com,Creator Deck,IM_FIRST_AGENCIES,GOOD,"Dedicated influencer marketing agency with 17+ years experience, data-powered campaigns at scale, 6 core IM services",48,United States,Apollo description contains 'influencer marketing agency',,UK_EU,success
digitalembassy.es,https://digitalembassy.es,Digital Embassy Influencer Marketing,IM_FIRST_AGENCIES,GOOD,"Dedicated IM agency in Spain running managed campaigns for major brands (CaixaBank, Ford, Porsche, Google); does profile audits at scale",6,Spain,Apollo description contains 'influencer marketing platform',,UK_EU,success
lttm-group.com,https://lttm-group.com,LTTM Sp. z o.o.,IM_FIRST_AGENCIES,GOOD,"Largest influencer marketing group in Poland (62% market share), includes LifeTube MCN; runs campaigns at scale",16,Poland,Apollo description contains 'influencer marketing agency',,UK_EU,success
itm.media,https://itm.media,Influence That Matters,IM_FIRST_AGENCIES,GOOD,"Dedicated influencer marketing platform in Poland connecting influencers with advertisers for sponsored campaigns (Twitch, TikTok)",24,Poland,Apollo description contains 'influencer marketing platform',,LATAM,success
stormmedia.gg,https://stormmedia.gg,StormMedia,IM_FIRST_AGENCIES,GOOD,"Influencer marketing agency in Warsaw with 400+ creators, 1000+ executed campaigns; runs brand campaigns at scale in gaming/esports",46,Poland,Apollo description contains 'influencer marketing agency',,INDIA,success
goldeninfluence.com,https://goldeninfluence.com,Golden,IM_FIRST_AGENCIES,GOOD,"Dedicated IM agency in France managing campaigns A-Z for major brands (Netflix, Nike); 200+ campaigns, French-speaking creator network",21,France,Apollo description contains 'influencer marketing agency',,LATAM,success
revtag.com,https://revtag.com,RevTag Ltd.,IM_FIRST_AGENCIES,GOOD,Dedicated digital influencer marketing agency helping brands activate audiences through influencers; IM is core business,15,Bulgaria,Apollo description contains 'influencer analytics',,INDIA,success
barksocial.co.uk,https://barksocial.co.uk,Bark Social,IM_FIRST_AGENCIES,GOOD,UK influencer marketing agency solely focused on ROI-driven influencer outreach campaigns; builds influencer lists and tracks attribution,19,United Kingdom,Apollo description contains 'influencer marketing agency',,INDIA,success
mfield.com.br,https://mfield.com.br,MField,IM_FIRST_AGENCIES,GOOD,"Major Brazilian IM agency (82 emp) running creative campaigns for Google, Nubank, XP; specialists in influencer marketing with strategic planning",82,Brazil,Apollo description contains 'influencer marketing agency',,INDIA,success
