Company Name,Company Name for Emails,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Company City,Company Country,Company Address,Keywords,Company Phone,Technologies,Total Funding,Annual Revenue,Short Description,Founded Year,Subsidiary of,Subsidiary of (Organization ID),Segment,Employees,Indusry,Prerequisite: Determine Research Guidelines,Reasoning,Influencer & DTC 5392 0313110550,Segmentation,Location,Prerequisite: Research Target Company
,,28,information technology & services,http://www.mimo.com.br,http://www.linkedin.com/company/mimolivesales,https://www.facebook.com/MimoLiveSales/,Sao Paulo,Brazil,"595 Rua Comendador Miguel Calfat, Sao Paulo, State of Sao Paulo, Brazil, 04537-082","technology, information & internet, retail, saas, live sales reporting, live commerce platform, computer systems design and related services, privacy compliance, real-time interaction, live event analytics, live event strategy, end-to-end live support, information technology and services, brand marketing, b2b, live commerce, live event support, customer data security, shopify, live analytics, influencer marketing, fomo triggers, user interaction, live shopping training, latin america live commerce, live shopping, data analytics, d2c, interactive product views, conversion rate, services, live commerce ecosystem, instant purchase, training and support, real-time chat shopping, influencer partnerships, customer engagement, brand partnership, livestream shopping, integration with magento, customer interaction, analytics, vnda, vtex, product scripting, e-commerce, information technology, software as a service, digital sales, conversion optimization, e-commerce integration, consumer products & retail, information technology & services, computer software, marketing & advertising, enterprise software, enterprises, consumer internet, consumers, internet",,"Route 53, Gmail, Google Apps, Amazon AWS, Slack, Google Tag Manager, DoubleClick Conversion, Linkedin Marketing Solutions, Google Analytics, Google Dynamic Remarketing, Facebook Custom Audiences, Mobile Friendly, Facebook Widget, Facebook Login (Connect), DoubleClick, Hotjar",,,"Mimo Live Sales is a live commerce software-as-a-service (SaaS) platform based in São Paulo, Brazil, founded in 2020. The company focuses on enabling brands to conduct e-commerce transactions through live video interactions, integrating livestreaming with e-commerce capabilities on websites and applications. Mimo aims to democratize live commerce in the Brazilian market and has expanded its reach across Latin America, serving over 200 brands in six countries, including the USA, Argentina, Peru, Chile, and Colombia.

Mimo offers a range of live commerce solutions, including a core platform for selling products through live interactions, a short video commerce vertical launched in 2024, and a full-service offering that includes pre-live planning, live execution, and post-live analytics. The platform is designed to enhance customer engagement and boost conversion rates, providing brands with the support needed to maximize sales outcomes during live video sessions. Mimo operates with a team of approximately 30-40 employees, co-founded by Ilan Vasserman and Paula Proushan, with Etienne Du Jardin as Co-Founder and Chief Product Officer.",2020,,,,,,,,,SOCIAL_COMMERCE,,
Vidvi,Vidvi,5,marketing & advertising,http://www.vidvi.com,http://www.linkedin.com/company/vidvi,,Poznan,Poland,"2 ulica Bydgoska, Poznan, wielkopolskie, Poland, 61-127","advertising services, live shopping tutorials, live video editing tools, customer data ownership, product highlights, cosmetics live shopping, live analytics, live sales campaign management, e-commerce, live shopping for fashion and retail, interactive fashion shows, live feedback, influencer-led live sales, live sales event planning, live sales analytics, fashion styling live streams, live shopping checklist, b2b, fashion and cosmetics live events, customer experience optimization, computer systems design and related services, live event analytics dashboard, fashion influencer live events, e-commerce live stream, customer feedback analysis tools, real-time customer feedback, shopper engagement tools, fashion industry live sales, electronics industry live sales, electronics product launches, product showcase, one-click buy, live shopping for seasonal sales, niche customer engagement tactics, live event scheduling, customer behavior insights, fashion live shopping, live sales growth strategies, real-time analytics, customer behavior tracking, multistreaming to social media, influencer marketing tools, customer loyalty, customer data, live commerce for brands, influencer-hosted live events, d2c, beauty tutorials live sales, customer engagement tools, live sales automation, customer engagement during live streams, multistreaming, customer engagement automation, customer interaction during live streams, sales conversion, real-time chat and emojis, promotional coupons for live events, beauty product demonstrations, live video sales, conversion optimization, live shopping, live shopping for luxury brands, online store integration, customer data security, live interactions, influencer marketing in live commerce, marketing automation, influencer collaboration in live sales, interactive live videos, content marketing, customer behavior analytics, event management, technology, live event promotion, easy integration with online stores, live shopping platform, influencer marketing, cloud infrastructure, customer feedback analysis, social commerce, live video broadcasting, scalable cloud infrastructure, live sales success, gdpr compliant platform, customer loyalty programs, live sales success stories, streaming software integration, customer loyalty building, customer acquisition, influencer collaboration, niche influencer collaborations, customer retention, broadcasting software, interactive video, themed live shopping campaigns, special occasion live sales, live sales for electronics, live shopping guide, customer feedback collection, marketing, live shopping for small businesses, promotional coupons, e-commerce marketing, customer data analytics, gdpr compliance, fashion and beauty live streams, live shopping industry trends, live sales performance metrics, mobile broadcasting support, event countdown and reminders, live shopping for niche markets, niche product live demonstrations, customer engagement analytics, online sales boost tools, themed live shopping events, live shopping event management, customer engagement tracking, customer relationship building, retail, customer experience enhancement, video on demand, interactive product demonstrations, digital marketing, beauty product live streams, live sales recording and replay, live shopping success tips, e-commerce integration, electronics product showcases, niche live shopping strategies, live sales recording, customer loyalty enhancement, live shopping for fashion brands, real-time interactions, live shopping conversion tools, live sales platform, customer engagement metrics, customer data privacy compliance, customer interaction moderation, live commerce, group buying, customer retention strategies, event marketing, live shopping platform support, live shopping platform customization, live sales performance tracking, live shopping for cosmetics, customer engagement, live sales statistics, fashion stylization live shows, customer interaction features, electronics live sales, beauty industry live streams, b2c, live video, data analytics, marketing & advertising, consumer internet, consumers, internet, information technology & services, saas, computer software, enterprise software, enterprises, events services, internet infrastructure, events",,"Cloudflare DNS, Gmail, Google Apps, Amazon AWS, Webflow, Hubspot, Slack, Mobile Friendly, Google Tag Manager",,,"Say hello to #Vidvi and take maximum advantage of the video shopping trend. Connecting your e-commerce, our video streaming tool and social media integrations, all prepared in a simple and clear administration panel. Quick and easy installation of the tool in your store, does not require additional applications or specialist knowledge. After the event is ready, all you have to do is add it to your online store and start the live streaming. From this point, during your live presentation customers can see featured products to learn more about them, add products to their cart, and just pay. By shortening the shopping path, customers have the opportunity to interact, ask questions or receive a discount coupon. Increase the engagement and conversion of your live shopping shows by broadcasting them also in your social media. Create the best environment for your audience and win-win situations, increase sales by using group purchases with benefits for the customer. Regardless of the platform your customers use, their experiences will be the same in both the mobile and desktop versions. You can calmly moderate the entire event, having access to a wide spectrum of analytics. In the end it's all about sales. With #Vidvi is easy. One look, one click and it's done.. Shortest way to close sales. Customers can easily checkout during live streaming. Vidvi helps brands start live shopping adventures by simply increasing sales. For more information, please visit our website.",2021,,,,,,,,,SOCIAL_COMMERCE,,
,,1,information technology & services,http://www.raqk.co,http://www.linkedin.com/company/raqk,,Denver,United States,"1644 Platte Street, Denver, Colorado, United States, 80202","api, ecommerce, social commerce, marketplace technology, content, design, payments, influencer marketing, native commerce, technology, information & internet, e-commerce, consumer internet, consumers, internet, information technology & services, financial services",,"Outlook, Android, React Native, Remote",,,"An eCommerce platform helping those with a curated voice monetize in a powerful way. Raqk is a one stop shop that merges content, affiliate links, and marketplace technology into a native shop experience built for Publishers, Content Creators,",2017,,,,,,,,,SOCIAL_COMMERCE,,
LIVEBUY,LIVEBUY,11,information technology & services,http://www.livebuy.io,http://www.linkedin.com/company/livebuy,https://facebook.com/Livebuying/,Berlin,Germany,"116 Urbanstrasse, Berlin, Berlin, Germany, 10967","social commerce, ecommerce, technology, technology, information & internet, user generated content, influencer marketing, creator operations, e-commerce integration, custom widgets, digital media, vod shopping, b2b, web search portals, libraries, archives, and other information services, shoppable video feed, content creation platform, conversion rate optimization, d2c, feed management, digital content creation, retail media, live show moderation, content creator management, influencer collaboration, content management, live actions engagement, analytics monitoring, mobile app video feed, retail, prosetup equipment connection, software as a service, on-demand video shopping, live video shopping, video reviews, custom front-end experience, b2c, services, interactive shopping experience, sdk integration, video platform, e-commerce, video technology, video product pages, viral content, multi-platform streaming, retail_media, tech_integration, live_video_shopping, video_product_pages, shoppable_video_feed, content_creation, creator_platform, video_reviews, integration_solutions, consumer internet, consumers, internet, information technology & services, saas, computer software",'+49 353 14361001,"Gmail, Google Apps, Amazon AWS, Typeform, GitHub Hosting, Webflow, Hubspot, Zendesk, Linkedin Marketing Solutions, Google Tag Manager, Mobile Friendly, React Native, Docker, Remote, AI",5390000,3500000,"LIVEBUY is a Berlin-based company founded in 2020 that specializes in live video shopping technology for the e-commerce sector. The company offers a platform-as-a-service (PaaS) that integrates interactive, shoppable video content into online stores, enhancing the shopping experience. With a fully remote team of 17 employees across Europe, LIVEBUY has conducted nearly 1,500 livestreams, establishing itself as a leader in video commerce solutions.

The platform features shoppable videos and live streaming, allowing retailers to embed video content directly into their online shops. It includes a dashboard for managing shows and performance analytics, as well as integration tools for easy setup and customization. Advanced features such as AI-powered subtitles, cart remarketing, and social media traffic integration support retailers and brands in boosting engagement and conversions, particularly among Gen Z and Millennials. LIVEBUY serves a diverse clientele, including retailers and content creators, looking to enhance their e-commerce strategies.",2020,,,,,,,,,SOCIAL_COMMERCE,,
,,2,information technology & services,http://www.streamagency.com,http://www.linkedin.com/company/streamagency,,Kitchener,Canada,"Kitchen, Kitchener, Ontario, Canada, N2P 2G5","technology, information & internet, influencer marketing, interactive polls, audience engagement, video marketing, private chat, live commerce roi, high-quality streaming, services, live commerce, live chat, software as a service, live shopping analytics, streaming software, exclusive discounts, auto-replies, email notifications, patented streaming widget, streamer talent management, customizable messages, streamer management, performance metrics, brand collaboration tools, real-time video, influencer campaign management, ecommerce integration, interactive product showcase, ai query handling, interactive shopping, obs integration, social media promotion, customer interaction tools, digital marketing, multi-platform streaming support, customer insights, offline video greeting, performance analytics, brand partnerships, webinar integration, streaming api, b2b, web search portals, libraries, archives, and other information services, product demonstrations, exclusive offers, multi-platform streaming, e-commerce, interactive content, real-time messaging, high-quality video, streaming widget, data insights, ai-powered customer support, content creation, live streaming, streamer agency, private chat support, b2b saas, video equipment, d2c, wix streaming, live video streaming, cart abandonment reduction, sales boost, customer trust, ecommerce, shopify integration, live event scheduling, online shopping experience, live event promotion, influencer marketing platform, customer engagement, content promotion, conversion optimization, retail, live shopping platform, consumer products & retail, information technology & services, saas, computer software, marketing & advertising, consumer internet, consumers, internet",,"Amazon CloudFront, Route 53, Amazon AWS, Oracle Cloud, Amazon SES, Mobile Friendly, Google Tag Manager",,,"When you visit a website, do you prefer talking to a messenger bot or a live streaming human being? 
Hosting a live StreamAgent improves conversion, products per order and time spent on website. 
Your website-traffic is live; why aren't you?
Visit https://www.StreamAgency.com and get started today.",2021,,,,,,,,,SOCIAL_COMMERCE,,
,,1,marketing & advertising,http://www.makeitshoppable.com,http://www.linkedin.com/company/make-it-shopable,https://www.facebook.com/makeitshoppable,Pittsburgh,United States,"Pittsburgh, Pennsylvania, United States","catalogfeed management, shoppable, google merchant center, catalogfeed optimization, ecommerce, marketing services, feed management, suspension risk analysis, customer engagement, platform-specific content optimization, product feed optimization, holiday readiness audits, ai-driven bidding algorithms, performance max, feed optimization, online shopping, b2c, services, ad platform integration, shoppable content, live shopping participation, empirical feed experiments, d2c, retail, roi increase, security risk analysis for catalogs, advantage+, platform-specific content, content creator partnerships, product information enhancement, catalog security, influencer marketing, best practices for shoppable catalogs, catalog/feed management, platform-specific catalog customization, ai bidding algorithms, holiday ad readiness, platform-specific catalog enhancement, platform-specific catalog fields, e-commerce, google shopping feed, advertising platform optimization, shoppable catalogs for apparel, e-commerce advertising, feed customization, empirical experiments, shoppable product catalog, in-platform purchase facilitation, advertising agencies, platform-specific catalog fields for apparel, account security check, advertising services, programmatic advertising, digital marketing, digital advertising, b2b, consumer products & retail, consumer internet, consumers, internet, information technology & services, marketing & advertising",,"Outlook, Amazon AWS, Facebook Custom Audiences, Google Tag Manager, Mobile Friendly, Facebook Login (Connect), Facebook Widget",,,"Shoppable Product Catalog/Feed Management and Optimization that Boosts Conversions and Increases ROI

Who We Are

We have been at the forefront of shoppable product catalog/feed excellence since the early days of shoppable catalogs, having been on the team at Google that originally developed best practices for shoppable products. We've continued to experiment and develop new best practices for catalog excellence as shoppable has evolved.

Our Approach

At Make It Shoppable, we believe in taking a data-driven approach to shoppable catalog/feed excellence. We use empirical experiments to inform our best practices that lead to better results for our clients.



We optimize your shoppable catalogs and feeds to take advantage of the latest ai driven bidding algorithms such as Performance Max and Advantage+ to increase your ROI.

Our Services

We offer full-service shoppable product catalog/feed management, including our proprietary shoppable product catalog optimization technology. We can export shoppable product catalogs and feeds to any platform including Google, Bing, Meta, Snapchat, TikTok, Connected TV, and Programmatic advertising.",2023,,,,,,,,,SOCIAL_COMMERCE,,
,,24,information technology & services,http://www.euka.ai,http://www.linkedin.com/company/euka-ai,,San Francisco,United States,"San Francisco, California, United States","technology, information & internet, social media marketing, retail, automated affiliate management, influencer database, creator community building, video content generation, high-converting content ideas, tiktok shop automation, influencer discovery and matching, social commerce infrastructure, performance tracking, tiktok influencer database, trend discovery, ai video and script generation, social intelligence, influencer engagement automation, ai video creator, performance tracking and reporting, tiktok affiliate automation, influencer relationship management, influencer marketing, social commerce platform, e-commerce, digital marketing, b2b, creator relationship management, social media trend insights, ai-powered competitor analysis, automated influencer outreach, content analytics, crm automation, automated messaging, ai-powered trend analysis, ai script generator, ai content generation, web search portals, libraries, archives, and other information services, content analytics and social listening, affiliate marketing, email marketing, growth hacking, ai influencer marketing, automated outreach and engagement, creator outreach automation, ugc content creation, d2c, content performance analytics, campaign management, social listening tools, ai trend analysis, services, ai-driven influencer marketing, influencer discovery, consumer products & retail, information technology & services, consumer internet, consumers, internet, marketing & advertising",,"Cloudflare DNS, Gmail, Google Apps, Facebook Widget, Mobile Friendly, Linkedin Marketing Solutions, Facebook Custom Audiences, Intercom, Google Font API, Google Tag Manager, Facebook Login (Connect), TikTok, LinkedIn Ads, YouTube, Amazon Advertising, Shopify, ANGEL LMS, Salesforce CRM Analytics",,,"Euka AI is a Canadian company that provides an AI-powered platform designed to help TikTok Shop brands manage and scale their creator partnerships and affiliate marketing campaigns. Founded by Jeremy Ding and Kevin Wang, the platform automates various aspects of user-generated content (UGC) campaigns, enabling brands to enhance their social media presence and drive sales effectively.

The platform offers features such as creator discovery and matching, with access to a vast database of TikTok creators, a built-in CRM for managing partnerships, and automation tools for handling affiliate marketing at scale. Euka AI also provides analytics and insights to support data-driven decision-making. The technology is built on Supabase, allowing for rapid iteration and high-performance scaling, making it suitable for ecommerce, SaaS, and consumer software companies. Users appreciate the seamless integration and responsive support provided by Euka AI.",2024,,,,,,,,,SOCIAL_COMMERCE,,
,,4,information technology & services,http://www.linkfluencer.io,http://www.linkedin.com/company/linkfluencer-io,https://www.facebook.com/au.linkfluencer/,Paris,France,"Rue des Archives, Paris, Ile-de-France, France, 75003","tiktok, smartlink for social media bio, social media tracking, content collaborations, content strategy, snapchat & much more, martech, creator economy, increasing marketing roi, social selling platform, influencer marketing platform, social media marketing, influencer search, brand awareness, social media ads, influencer campaign insta, grow your subscribers & engagement across 50 platforms, linkfluencer prepaid card, link in bio platfrom, technology, information & internet, creator card, retail, performance analytics, content creator ecosystem, influencer campaign management, content amplification, advertising & marketing, social influence earnings, cashback system, b2c, influencer marketing, e-commerce, digital marketing, brand ambassador tools, app redirection, creator monetization, user-generated content, content sharing, audience growth, influencer rewards program, influencer platform, advertising agencies, cashback rewards, brand collaboration, content creator tools, smartlinks, social proof marketing, influencer marketing automation, brand tagging, influencer outreach, influencer rewards, influencer monetization, content creation, link management, campaign tracking, monetization platform, influencer cashback, influencer network, audience engagement, native app redirect, influence marketing, social media integration, user experience, d2c, in-app browser bypass, services, affiliate marketing, social sharing, consumer internet, consumers, internet, information technology & services, marketing & advertising, ux",,"Cloudflare DNS, Gmail, Google Apps, Amazon AWS, CloudFlare Hosting, Bootstrap Framework, Google Tag Manager, Google Font API, Mobile Friendly",,,"Getting discovered and winning customer trust on social has become incredibly hard.

Influencer marketing was supposed to solve this problem.
Borrow trust, borrow reach, get discovered.

But instead, it created new problems.
– upfront payments with no guaranteed sales
– messy attribution
– inconsistent ROI
– content that looks like ads, not recommendations

So instead of feeling like word of mouth, it feels like another placement.

That's when we asked a very simple question at Linkfluencer - What if UGC wasn't the bet, but the by-product of sales?

What if the people posting weren't hired influencers, but real customers who already bought, loved the product, and were rewarded to talk about it?

That's exactly what Linkfluencer does.

We turn your customers into brand marketers.
– They shop
– Post authentic content
– Get rewarded
– Brands only pay when real sales happen

So instead of gambling on reach, you build a repeatable, performance-led customer content engine.",2024,,,,,,,,,SOCIAL_COMMERCE,,
Oyah,Oyah,10,internet,http://www.oyah.com,http://www.linkedin.com/company/oyah,https://www.facebook.com/joyamoment,Medina,Saudi Arabia,"Medina, Al Madinah Province, Saudi Arabia","social networking platforms, influencer marketing, gifting, gift sending, social marketing, social media, review analytics, social commerce, instant customer care, services, social order check-in, loyalty points, computer systems design and related services, b2c, crm, review sharing, order management, rewards, community reviews, social reviews, social networking, gifting and rewards, social loyalty platform, customer care, e-commerce social networking, user reviews, digital marketing, review analysis, social targeted gift, app security, business rewards, customer loyalty, social loyalty program, social media integration, entertainment, patented technology, e-commerce, user-generated content, social media rewards, local trend discovery, food and beverage, social media marketing, social gifting platform, social influence points, customer engagement, local business promotion, social shopping, retail, saas, consumer_products_retail, internet, information technology & services, marketing & advertising, consumer internet, consumers, sales, enterprise software, enterprises, computer software, b2b, food & beverages, consumer goods",,"Cloudflare DNS, Outlook, Microsoft Office 365, CloudFlare Hosting, Slack, Google Play, Amcharts JS Library, Mobile Friendly, Google Font API, Bootstrap Framework, Google Maps, Google Maps (Non Paid Users), Circle",,,"Social networking that enables users to share their reviews and favorite purchases with their friends, followers and community. In addition to that users easily can buy, receive great offers, earn cash back and send and receive preferred gifts from their friends and followers.",2020,,,,,,,,,SOCIAL_COMMERCE,,
,,17,information technology & services,http://www.getvop.com,http://www.linkedin.com/company/tokshopcom,https://www.facebook.com/Vop.Shop,San Francisco,United States,"San Francisco, California, United States","technology, information & internet, video feed embedding, content import, content management system, services, e-commerce, social content management, social media marketing, software as a service, social media management, social media analytics, retail, social proof tools, tiktok integration, ecommerce content, b2b, social proof, social proof for ecommerce, tiktok video gallery, user-generated content integration, dynamic galleries, product tagging, social media content, brand awareness, tiktok content moderation, d2c, brand monitoring, influencer marketing, customer engagement, video embedding, tiktok influencer marketing, video marketing, content curation, tiktok video tagging, tiktok feed, tiktok hashtag campaigns, ecommerce marketing, customer experience, shoppable tiktok videos, search and filtering, digital marketing, social commerce, content moderation, shoppable video, tiktok campaign management, tiktok hashtag challenge, content approval, content moderation platform, conversion optimization, ugc sourcing, computer systems design and related services, content moderation tools, saas, consumer products & retail, information technology & services, consumer internet, consumers, internet, marketing & advertising, computer software",,"Cloudflare DNS, Mailchimp Mandrill, Gmail, Google Apps, Vercel, React, Slack, Facebook Widget, Facebook Custom Audiences, Mobile Friendly, Facebook Login (Connect), Google Tag Manager, Android",,,"The social media platform, TikTok, is growing at an incredible rate around the world and has been downloaded by over 1 billion users. Your customers want to be able to shop the videos and content they see. So, we created TokShop to enable you to create a shoppable TikTok feed.

The app allows you to put your TikTok feed directly onto your Shopify store, as well as appear on product pages.

You can also pull videos from any hashtags and other influencers are using/wearing your product.",,,,,,,,,,SOCIAL_COMMERCE,,
