domain,company_name,segment,confidence,reasoning
euka.ai,,SOCIAL_COMMERCE,0.95,"B2B AI-driven platform that helps TikTok Shop brands manage creator affiliates to drive measurable sales growth, explicitly focusing on turning creator content into revenue."
buy.social,,SOCIAL_COMMERCE,0.95,"The company explicitly states it is a 'Brand owned social commerce platform' and a 'social commerce integration' that helps brands create interactive social marketplaces, leverage UGC, and facilitate live video shopping experiences directly on their e-commerce sites."
ellomessenger.com,,SOCIAL_COMMERCE,0.9,"Ello Messenger is an AI-powered platform that enables businesses and creators to monetize content through subscription channels and masterclasses, and to 'showcase, promote and sell their products' directly within the messenger environment, fitting the definition of social commerce."
upcyclers.com,,SOCIAL_COMMERCE,0.9,"Upcyclers is a platform where users can 'Shop, Source, Sell' upcycled and secondhand items through 'Open Storefronts' and a 'Community,' which aligns with a social marketplace or creator storefront model where commerce is built on social interaction."
theflow.com,,SOCIAL_COMMERCE,0.9,"TheFlow is a creator-owned music and social media platform where artists can sell digital downloads and subscriptions directly to fans, integrating commerce within a social experience. It also mentions liveness verification and AI detection for human creativity, aligning with OnSocial's fraud detection capabilities."
enara.co,,SOCIAL_COMMERCE,0.9,"Enara explicitly positions itself as 'The Social Commerce Operating System' and provides an AI-powered platform to automate the entire social commerce journey for brands and creators, including creator matching, content optimization, and fulfillment for platforms like TikTok Shop."
bazla.co,,SOCIAL_COMMERCE,0.9,"Bazla is a platform designed for creators to build their own storefronts, sell products directly to their audience, and earn revenue share, which is a core aspect of social commerce and creator storefronts."
getvop.com,,SOCIAL_COMMERCE,0.9,"Vop offers a platform for brands to create shoppable video experiences from their social content, specifically TikTok videos, and embed them on e-commerce stores, directly enabling social commerce."
streamerce.live,,SOCIAL_COMMERCE,0.9,"Streamerce is a video shopping platform offering a 360-degree solution for shoppable content, including live shopping and TikTok-inspired video feeds, directly enabling commerce through social interaction for brands and marketplaces."
linkinbio.id,,SOCIAL_COMMERCE,0.85,"The company offers a 'link in bio' tool with integrated 'Online Store' functionality, allowing users to sell products directly from their social media profiles and collect payments. This aligns with the definition of a creator storefront and social selling platform."
wooskill.com,Wooskill,SOCIAL_COMMERCE,0.85,"Wooskill is a platform where social media creators ('skillers') sell live and on-demand masterclasses directly to consumers, explicitly leveraging their Instagram presence. This fits the definition of a creator storefront/marketplace where commerce is social by design."
rfoxvalt.com,,SOCIAL_COMMERCE,0.85,"RFOX VALT is a metaverse platform focused on a 'retail and entertainment experience' where users can 'explore, shop, connect, and thrive' in a virtual universe. This aligns with SOCIAL_COMMERCE as it's a platform where commerce is social by design, functioning as a social marketplace within a VR environment."
rfoxgames.com,,SOCIAL_COMMERCE,0.85,"The company operates a metaverse platform (RFOX VALT) where users can 'explore, shop, connect, and thrive' in a virtual universe, explicitly offering a 'retail and entertainment experience' with social interactions and user-generated content. This aligns with the definition of a social marketplace where commerce is social by design."
vybyn.com,,SOCIAL_COMMERCE,0.85,"Vybyn is a 'Music Social platform' featuring a 'Super Digital Store' designed to offer 'profitable solutions' and 'fair compensation' for creators, aligning with a social commerce model where selling is integrated into a social experience."
videomart.in,,SOCIAL_COMMERCE,0.85,"VideoMart is a video marketplace enabling creators to monetize their content by setting prices and receiving payouts, which aligns with the definition of a social marketplace or creator storefront where commerce is social by design."
ohlala.com,,SOCIAL_COMMERCE,0.85,"Ohlala is a platform where content creators monetize exclusive content and dating experiences through subscriptions and pay-to-view features, acting as a creator storefront and social marketplace where commerce is built on social interaction."
tcgfandom.com,,SOCIAL_COMMERCE,0.85,"The company operates a metaverse marketplace for digital collectibles made from influencer and content creator moments, allowing users to browse and purchase these items. This is a social marketplace where commerce is directly tied to creators and their content."
laagencia.com.ar,,SOCIAL_COMMERCE,0.85,"The company provides an AI platform that creates virtual influencers and automates social media interactions (DMs, comments) to convert conversations into sales and leads on platforms like WhatsApp and Instagram, directly enabling social commerce."
zaap.bio,,SOCIAL_COMMERCE,0,Failed to parse AI response: {
