domain,name,country,city,website_url,description,industry,total_funding_printed,_parsed_funding,founded_year,investors,_source
lykon.de,Lykon,Germany,Berlin,https://lykon.de,At-home blood and DNA tests with personalized nutrition/health recommendations. Founded 2015. Acquired by Lifesum in June 2024.,Health Tech / DTC Blood Testing,$20.5M,20500000,2015,,web_research
cerascreen.de,cerascreen,Germany,Hamburg,https://cerascreen.de,"Self-test kits for blood, urine, saliva, breath gas, stool analysis. Results and personalized health recommendations delivered digitally. Founded 2012.",Health Tech / DTC Health Testing,Undisclosed (Matzen Ventures),,2012,,web_research
aware.app,Aware,Germany,Berlin,https://aware.app,"In-lab blood testing with 110+ biomarkers, personalized health reports in app within 24h, subscription-based retesting. Labs in Berlin, Hamburg, Frankfurt, Munich, Vienna, Amsterdam.",Health Tech / DTC Blood Testing,$15M,15000000,,"Lakestar, Cherry Ventures, Magnetic",web_research
theblood.io,theblood,Germany,Berlin,https://theblood.io,Subscription-based menstrual blood testing via menstrual cup. Insights into cycles and health biomarkers non-invasively. Founded 2022.,Health Tech / FemTech Blood Testing,~EUR 1M,1100000,2022,"RoX Health, Leanox VC",web_research
medisera.se,Medisera Health,Sweden,Linköping,https://medisera.se,Private blood tests in 30+ Swedish cities with personalized service. Partners with Karolinska. Founded 2019.,Health Tech / DTC Blood Testing,,,2019,,web_research
testmottagningen.se,Testmottagningen,Sweden,Stockholm,https://testmottagningen.se,"Sweden's largest range of blood tests and health checks at 160+ locations. Samples analyzed at Karolinska, Synlab, Unilabs.",Health Tech / DTC Blood Testing,,,,,web_research
vital.se,Vital (by Puhti/Mehilainen),Sweden,Stockholm,https://vital.se,Lab tests without referral at 100+ locations across Sweden. Results in 2-4 business days. Launched by Puhti (Finland). Backed by Mehilainen.,Health Tech / DTC Blood Testing,Backed by Mehilainen,,2022,,web_research
nordicwellth.com,Nordic Wellth,Sweden,Stockholm,https://nordicwellth.com,"Lifestyle medicine clinic with online lab test ordering, 100+ testing locations across Sweden. Blood tests with nutritional/lifestyle coaching.",Health Tech / Wellness Testing,,,,,web_research
homediq.com,Homed-IQ,Netherlands,Amsterdam,https://homediq.com,"At-home self-sampling health tests. Active in NL, Germany, Belgium, Austria. Sold at Albert Heijn supermarkets. Founded 2020.",Health Tech / DTC Home Testing,EUR 1M,1100000,2020,Healthy Capital,web_research
postyourlab.com,PostYourLab / Labonovum,Netherlands,Amsterdam,https://postyourlab.com,"Netherlands' largest online lab diagnostics using fingerstick. Kit by mail, blood at home, post to lab, results online. 20,000+ users.",Health Tech / DTC Blood Testing,EUR 3M (EU grant),3300000,,,web_research
bloedwaardentest.nl,Bloedwaardentest.nl,Netherlands,,https://bloedwaardentest.nl,"Netherlands' largest blood test provider, 800+ blood drawing stations. Order online, visit collection point, results with explanations by email.",Health Tech / DTC Blood Testing,,,,,web_research
healsens.com,Healsens,Netherlands,,https://healsens.com,"App-based preventive healthcare platform in NL, Belgium, Germany. Customizes checkups by age, gender, history. Subscription. Founded 2019.",Health Tech / Preventive Health,EUR <100K,100000,2019,,web_research
labplusarts.nl,Labplusarts,Netherlands,,https://labplusarts.nl,Preventive blood tests without GP referral across 750+ locations in the Netherlands.,Health Tech / DTC Blood Testing,,,,,web_research
testmijnbloed.be,Test Mijn Bloed,Belgium,Antwerp,https://testmijnbloed.be,Belgian private blood testing center. Preventive tests without prescription. Results via email within 10 days.,Health Tech / DTC Blood Testing,,,,,web_research
bloodygoodtests.com.au,Bloody Good Tests,Australia,,https://bloodygoodtests.com.au,"Order private blood tests online, 4,000+ NATA-accredited collection centres, results in 48h via dashboard. No GP referral.",Health Tech / DTC Blood Testing,Undisclosed (LX Health),,,,web_research
imedical.com.au,iMedical,Australia,,https://imedical.com.au,Australia-wide direct-access pathology. Order blood tests online without referral through NATA-accredited labs.,Health Tech / DTC Blood Testing,,,,,web_research
clearlabs.com.au,ClearLabs,Australia,,https://clearlabs.com.au,"Direct access to private blood testing, 2,000+ collection centres. Results in 2-3 business days with trend tracking.",Health Tech / DTC Blood Testing,,,,,web_research
abbyhealth.app,Abby Health,Australia,,https://abbyhealth.app,"AI-powered health platform, pathology services across 170+ clinics in Australia. Symptom analysis, blood test ordering, doctor-reviewed results.",Health Tech / AI Blood Testing,,,,,web_research
i-screen.com.au,i-screen,Australia,,https://i-screen.com.au,"Health screening with biomarker tracking. Test kits by mail for home collection, results via dashboard. Australia and New Zealand.",Health Tech / Home Testing,,,,,web_research
bloodtestscanada.com,Blood Tests Canada,Canada,,https://bloodtestscanada.com,"Private blood work in Ontario, Quebec, Manitoba. Order online, visit service centre, results electronically. No doctor referral.",Health Tech / DTC Blood Testing,,,,,web_research
teletest.ca,TeleTest,Canada,,https://teletest.ca,Private blood work and diagnostics at nearby labs without doctor referral. Ontario and British Columbia.,Health Tech / DTC Blood Testing,,,,,web_research
ichorhealth.ca,Ichor Health (Avovita Wellness),Canada,Calgary,https://ichorhealth.ca,"Private blood testing, partners with Mayo Clinic Labs. 50+ cancer markers, prenatal, preventive panels. Secure portal.",Health Tech / DTC Blood Testing,,,,,web_research
molecularyou.com,Molecular You,Canada,Vancouver,https://molecularyou.com,Predictive health platform measuring 250+ biomarkers. AI-driven personalized lifestyle recommendations. Partners with Dynacare.,Health Tech / Biomarker Testing,$5M,5000000,,"Voloridge Health, Dynamic Leap",web_research
whitecoat.com.sg,WhiteCoat,Singapore,Singapore,https://whitecoat.com.sg,Leading SG telemedicine provider with premium health screening at home via app. Blood/urine test packages. Founded 2018.,Health Tech / Telemedicine + Testing,,,2018,,web_research
sg.speedoc.com,Speedoc,Singapore,Singapore,https://sg.speedoc.com,"Virtual clinic with home-visit health screenings, telemedicine. Basic to comprehensive blood panels. Founded 2017.",Health Tech / Home Health Screening,,,2017,,web_research
atamed.sg,ATA Medical,Singapore,Singapore,https://atamed.sg,"Home health screening with trained medical professionals. Tests in 15 minutes, starting S$54.50.",Health Tech / Home Health Screening,,,,,web_research
lucis.life,Lucis,France,Paris,https://lucis.life,"Preventive health check-ups in certified labs, 180+ biomarkers. Subscription EUR 490/year. France, UK, Ireland, Portugal. 500K+ tests. Y Combinator backed. Founded 2025.",Health Tech / DTC Blood Testing,$8.5M,8500000,2025,"General Catalyst, Y Combinator, Kima Ventures",web_research
monbilanbio.fr,MonBilanBio,France,,https://monbilanbio.fr,Blood tests without prescription. Algorithm-based questionnaire recommends personalized biological tests.,Health Tech / DTC Blood Testing,,,,,web_research
ailin.es,Ailin Health,Spain,Madrid,https://ailin.es,"DTC health testing with self-sampling kits, lab analysis, AI. 30+ products. Results in 48h. Google for Startups alumni. Founded 2021.",Health Tech / DTC Home Testing,EUR 1.5M,1650000,2021,"CDTI/Neotec, Enisa",web_research
melio.es,Melio,Spain,Madrid,https://melio.es,"Venous blood testing across 20 centres in Madrid. 10+ profiles, 100+ health markers. Results on mobile. Launched Oct 2023.",Health Tech / DTC Blood Testing,EUR 600K,660000,2023,,web_research
testinclick.it,Testinclick,Italy,,https://testinclick.it,"Italian platform for lab tests at home. Self-collection kits for capillary blood, urine, saliva. Results online.",Health Tech / DTC Home Testing,,,,,web_research
medelit.com,MEDELIT,Italy,,https://medelit.com,"Home diagnostic services across Italy — blood tests, ultrasounds, ECG, checkups. At-home blood collection by certified nurses.",Health Tech / Home Diagnostics,,,,,web_research
blodsjekk.no,Blodsjekk,Norway,,https://blodsjekk.no,"Norwegian platform for blood tests online without doctor's appointment. General, Extended, Sports packages.",Health Tech / DTC Blood Testing,,,,,web_research
drdropin.no,Dr.Dropin,Norway,Oslo,https://drdropin.no,"Digi-physical healthcare platform, 25 clinics covering 50%+ of Norway. Blood tests, urine tests, rapid tests + consultations. Founded 2017.",Health Tech / Digital Clinic + Testing,EUR 19M (~$20.9M),20900000,2017,"SHS Capital, yabeo, Andenes Ventures",web_research
bloodworks.ie,Bloodworks,Ireland,,https://bloodworks.ie,"Irish private blood testing — 40+ tests. Sports, Fatigue, Cardiovascular profiles. Results by email.",Health Tech / DTC Blood Testing,,,,,web_research
thehealthlab.ie,The Health Lab,Ireland,Dublin,https://thehealthlab.ie,Partners with Randox for blood tests in fitness centres and pharmacies across Dublin area.,Health Tech / DTC Blood Testing,,,,,web_research
fola.care,Folacare,Ireland,,https://fola.care,"1,250+ blood tests and screening services. INAB-certified labs. No GP referral required.",Health Tech / DTC Blood Testing,,,,,web_research
