domain,company_name,segment,confidence,reasoning
fluenceur.com,,AFFILIATE_PERFORMANCE,0.95,"Fluenceur explicitly states it is an 'AI-Powered Affiliate Marketing Platform' that helps brands recruit creators, automate tracking, and pay 'on performance only', directly aligning with the definition of an affiliate/performance marketing platform connecting advertisers with creators for conversion-based payouts."
hyzify.in,,AFFILIATE_PERFORMANCE,0.9,"The website explicitly states it is an 'Affiliate Website for Influencers & Telegrammers,' directly matching the description of an affiliate network or performance marketing platform that connects creators with offers."
anystarr.com,,AFFILIATE_PERFORMANCE,0.9,"The company explicitly states it is a 'TikTok affiliate partner' and offers a 'Creator Affiliate Program' where creators earn 'commissions' by selling products, directly aligning with the definition of an affiliate/performance marketing platform."
wishlistx.de,,AFFILIATE_PERFORMANCE,0.9,"The company provides a platform for creators to generate paid links for products from partner brands, earning money per click, which is a clear performance marketing model connecting advertisers with publishers/creators."
drim.one,DRIM,AFFILIATE_PERFORMANCE,0.9,"DRIM is a platform that connects brands with micro-influencers, explicitly stating a 'pay only for results' and 'CPA model' for generating sales and leads, which aligns with an affiliate/performance marketing network."
gocollab.ai,,AFFILIATE_PERFORMANCE,0.9,"GoCollab.ai is a platform that connects brands with influencers to manage and measure e-commerce affiliate marketing campaigns, explicitly stating its focus on 'Affiliate Marketing with Influencers' and 'managing affiliate campaigns'."
authentic-commerce.com,authentic.commerce,AFFILIATE_PERFORMANCE,0.9,"The company explicitly describes itself as an 'Affiliate Marketing' platform for 'Influencer & Content Creator' to 'Earn money with commission for every sale' by sharing 'trackinglinks' to 'partner stores', directly matching the AFFILIATE_PERFORMANCE segment."
shoplooks.com,Shoplooks,AFFILIATE_PERFORMANCE,0.9,"Shoplooks is a platform that enables creators to earn from their content by generating affiliate links for brands, explicitly mentioning 'affiliate marketing' and 'performance analytics,' which aligns with an affiliate/performance marketing network."
purch.com,,AFFILIATE_PERFORMANCE,0.85,"The company is a large media publisher that owns numerous content sites and price comparison platforms, monetizing through advertising and facilitating purchase decisions via its proprietary e-commerce platform and comparison services. This model aligns with connecting advertisers with audiences/publishers and driving conversions, which is core to affiliate/performance marketing."
bytemerica.com,Bytemerica,AFFILIATE_PERFORMANCE,0.85,"The company is a 'performance marketing agency,' indicating its core business involves conversion-based marketing, which aligns with the AFFILIATE_PERFORMANCE segment's focus on monetizing based on conversions and connecting advertisers with publishers/creators."
martechsa.com,,AFFILIATE_PERFORMANCE,0.85,"The 'Martech Dashboard' helps clients advertise using 'points, discount codes, commissions,' which are strong indicators of a performance or affiliate marketing platform that rewards partners for conversions."
joinaardvark.com,,AFFILIATE_PERFORMANCE,0.85,"Aardvark is a platform and browser extension that connects consumers with performance-based deals (discounts/offers) from creators, functioning as a referral platform for creator-driven conversions."
ssociopro.com,,AFFILIATE_PERFORMANCE,0,Failed to parse AI response: {
