domain,company_name,segment,reasoning,employees,country,industry,keywords,short_description,linkedin_url,source_sheet,scrape_status,classified_by,prompt_version
7play.com.br,7PLAY,AFFILIATE_PERFORMANCE,7PLAY operates as an affiliate marketing platform that recruits and develops partners for performance-based sales strategies.,27,Brazil,marketing & advertising,"vendas online, ecommerce, marketing, monetizacao na internet, marketing digital, marketing de afiliados, advertising services, e-commerce, consumer internet, consumers, internet, information technolog","A 7PLAY é uma empresa que trabalha para transformar vidas e desenvolver negócios.
Trabalhamos com a criação de produtos e marcas que são vendidos através do Marketing de Afiliados.
Recrutamos, gerenci",http://www.linkedin.com/company/7play,LATAM,ConnectTimeout,gpt-4o-mini,v1
accordmobi.com,ACCORDMOBI LLC,AFFILIATE_PERFORMANCE,"Accordmobi is an international affiliate network focused on mobile performance marketing, connecting advertisers with publishers and monetizing based on conversions/actions.",11,United States,marketing & advertising,"wwwaccordmobicom, cpa, promotion, advertising, cpi, accord, accordmobi, traffic, mobile traffic, affiliate network, mobile, marketing, adnetwork, advertising services, b2b, campaign tracking, advertis","Accordmobi is a mobile performance network focused on promotion mobile offers on CPI/CPE/CPA basis.

Accordmobi cooperates with mobile app developers and top advertising networks and assist them to pr",http://www.linkedin.com/company/accordmobicompany,MIXED,success,gpt-4o-mini,v2
adbluemedia.com,AdBlueMedia - Affiliate Marketing Network,AFFILIATE_PERFORMANCE,"AdBlueMedia operates as an affiliate marketing network, focusing on CPA, CPL, CPI, and CPE campaigns, which indicates a performance-based monetization model connecting advertisers with publishers/creators.",200,India,marketing & advertising,"marketing services, community-driven platform, payment automation, user-friendly dashboard, advertiser support, marketing and advertising, affiliate network, customizable tools, cpl campaigns, perform",Our clean dashboard design is built with you in mind. Free of clutter and easy to navigate.,http://www.linkedin.com/company/adbluemedia-affiliate-marketing-network,INDIA,success,gpt-4o-mini,v2
adlanticmedia.com,AdLantic Media,AFFILIATE_PERFORMANCE,"AdLantic Media focuses on performance marketing and influencer partnerships, connecting advertisers with creators to drive conversions.",25,United States,marketing & advertising,"influencer marketing, affiliate marketing, campaign, digital marketing, performance marketing, branding, advertising services, marketing & advertising",AdLantic Media LLC is a performance marketing company dedicated to helping businesses grow through data-driven advertising and analytics services. The company focuses on delivering reliable and scalab,http://www.linkedin.com/company/adlanticmedia,US,success,gpt-4o-mini,v1
admon.ai,Admon,AFFILIATE_PERFORMANCE,"Admon operates in affiliate marketing and performance marketing, connecting advertisers with publishers/creators to enhance ROI and combat ad fraud.",580,United States,information technology & services,"cpi, paid search, affiliate marketing, ad fraud, brand safety, digital marketing, cpa, mobile advertising, technology, information & internet, marketing & advertising, internet, information technology",Admon was found in 2015 as a result of 10+ years digital marketing expertise and fighting against ad fraud. Our mission is to find new types of ad fraud and share these knowledges worldwide. Using our,http://www.linkedin.com/company/admonai,US,success,gpt-4o-mini,v1
adnextmedia.com,ADNext Media,AFFILIATE_PERFORMANCE,"ADNext Media specializes in performance-based marketing solutions and connects brands with affiliates, indicating a focus on affiliate marketing.",22,India,marketing & advertising,"emailers, native, sem, branding, social ads, display ads, performance, affiliate marketing, leads generation, sms, advertising services, marketing & advertising, messaging, information technology & se","ADNext Media is an interactive digital agency located in Gurugram, Haryana, India. The company specializes in performance-based marketing solutions, utilizing smart technologies and anti-fraud systems",http://www.linkedin.com/company/adnextmedia,INDIA,success,gpt-4o-mini,v1
adromeda.com,Adromeda,AFFILIATE_PERFORMANCE,Adromeda operates as an affiliate network specializing in monetizing dating traffic through partnerships with influencers and strategic marketing strategies.,14,United Kingdom,marketing & advertising,"advertising services, online dating, market research, seo tools, digital advertising, traffic volume management, traffic generation, campaign optimization, information technology and services, geo-tar","Marketing agency, which provides small and large businesses with world-class marketing strategies to reach their true potential.",http://www.linkedin.com/company/adromeda-agency,UK_EU,success,gpt-4o-mini,v1
adsflicker.com,Adsflicker,AFFILIATE_PERFORMANCE,"AdsFlicker operates as an affiliate network, focusing on performance-based advertising with models like CPA, CPC, and CPL, connecting advertisers with publishers and charging based on conversions.",18,India,marketing & advertising,"advertising services, seo, popunder ads, exclusive offers, brand awareness, marketing automation, roi, social bar, advertising agencies, digital advertising, ad performance tracking, performance-based","Adsflicker Advertising Private Limited is an Indian company founded on July 18, 2024. It specializes in advertising and market research, focusing on the ecommerce sector. The company is registered as ",http://www.linkedin.com/company/adsflicker,INDIA,success,gpt-4o-mini,v2
adsknife.com,ADSKNIFE PERFORMANCE MARKETING PRIVATE LIMITED,AFFILIATE_PERFORMANCE,"Adsknife Performance Marketing specializes in performance-based digital media advertising, focusing on mobile CPA networks and connecting advertisers with publishers through targeted campaigns.",21,India,marketing & advertising,"mobile seo, mobile cpa network, mobile app promotion, mobile content provider, mobile game promoiton, mobile social advertising, inapp ads, mobile advertising, advertising services, regional targeting","ADSKNIFE PERFORMANCE MARKETING PRIVATE LIMITED is a performance-based digital media network founded in 2019 in India. The company specializes in mobile media advertising, focusing on achieving success",http://www.linkedin.com/company/linkedinadsknife,INDIA,success,gpt-4o-mini,v1
adsmain.com,AdsMain - Affiliate Network,AFFILIATE_PERFORMANCE,"AdsMain is an affiliate network that connects advertisers with publishers and affiliates, focusing on performance marketing and real-time tracking capabilities.",77,United States,marketing & advertising,"marketing, online advertising, affiliate marketing, sell traffic, publishing, mobile marketing, traffic sale, advertising, affiliate network, media buy, buy traffic, advertising services, offer testin","AdsMain is an affiliate network based in New York, USA, with a global reach. With 12 years of experience, the company connects advertisers with publishers and affiliates, providing high-performing adv",http://www.linkedin.com/company/adsmain-llc,US,success,gpt-4o-mini,v1
