Company Name,Company Name for Emails,# Employees,Industry,Website,Company Linkedin Url,Facebook Url,Company City,Company Country,Company Address,Keywords,Company Phone,Technologies,Total Funding,Annual Revenue,Short Description,Founded Year,Subsidiary of,Subsidiary of (Organization ID),Segment,Employees,Indusry,Prerequisite: Determine Research Guidelines,Reasoning,Influencer & DTC 5392 0313110550,Segmentation,Location,Prerequisite: Research Target Company
Jalife Brothers,Jalife Brothers,18,marketing & advertising,http://www.jalifebrothers.com,http://www.linkedin.com/company/jalife-brothers,,,Argentina,Argentina,"instagram, influencer talent management, tiktok, social media strategy, performance media, facebook, influencer marketing, content creation, social media marketing, influencer marketing campaigns, youtube, twitch, branded content, social analytics, digital agency, advertising services, consumer internet, consumers, internet, information technology & services, marketing & advertising",,"Slack, Bootstrap Framework, WordPress.org, Google Font API, Google Tag Manager, Mobile Friendly",,,"We are an influencer marketing agency based in Argentina with 5 years of experience in Influencer Management and Digital Campaigns. We transform each project into a unique experience with the aim of generating impact, engagement and a meaningful message for the audience. 

• More than 200 Successful Projects
• More than 80 Partners and Friends
• Influencer Management
• Content Creators
• Digital Branding and Brand Ambasadors",2018,,,,,marketing & advertising,,"""Construimos relaciones significativas entre marcas e influencers.""",,IM_FIRST_AGENCIES,,
TKers Agency,TKers Agency,6,marketing & advertising,http://www.tkers.es,http://www.linkedin.com/company/tkers,https://facebook.com/Cachesocial,,Spain,Spain,"advertising services, reels content creators, twitch, content marketing, twitch streamers, content creator platform, reels influencers spain, influencer network, influencer collaboration, influencer agency, emerging social media formats, content creators, tiktok influencers spain, advertising & marketing, other services related to advertising, digital influencer marketing, tiktok, social media talent management, social media influencers, creator representation, influencer marketing, talent representation, content promotion, influencer campaigns spain, influencer campaigns, talent management, content creator roster, social media campaigns, media & content creation, content creator management, brand promotion, influencer campaign management, influencer brand collaborations, instagram reels, content creator agency, b2b, tiktok influencers, brand partnerships, social media marketing, influencer marketing strategy, influencer talent agency, twitch streamers spain, b2c, marketing & advertising, marketing, consumer internet, consumers, internet, information technology & services",,"Gmail, Google Apps, Microsoft Office 365, Google Font API, WordPress.org, Mobile Friendly, Apache",,,"Spain's leading TikTok agency with +100 top creators. Working with brands on new strategies on TikTok, Reels and Twitch.",2020,,,,,marketing & advertising,,"""primera agencia especializada en los nuevos formatos del Influencer Marketing (TikTok, Instagram Reels, Twitch…)""",,IM_FIRST_AGENCIES,,
buddybrand GmbH,buddybrand,42,marketing & advertising,http://www.buddybrand.com,http://www.linkedin.com/company/buddybrand,https://facebook.com/buddybrand,,Germany,Germany,"social media, social media & digital marketing, digital marketing, kreativagentur, advertising services, vertical video production, brand storytelling, influencer talent management, digital culture integration, influencer campaigns, content creation, influencer-first campaigns, authentic content, d2c, digital culture, influencer activation, ai in marketing, content optimization, digital campaigns, influencer collaboration, brand engagement, social first, influencer strategy, community engagement, digital trends, social media analytics, brand content, cross-platform content, content strategy, automated campaign processes, influencer marketing, ai-driven visuals, social media marketing, social media campaigns, advertising agencies, ai-powered campaigns, social media content, content automation, influencer community integration, vertical video, community building, talent management, fast content creation, vertical content, content testing in digital culture, social media trends, authentic engagement, tiktok trends, trend-based creativity, influencer outreach, content production, b2c, hollywood-level visuals, content virality testing, content testing, crossmedia campaigns, tiktok campaigns, influencer management, personalized campaigns, advertising & marketing, services, consumer internet, consumers, internet, information technology & services, marketing & advertising, marketing",,"Gmail, Google Apps, MailChimp SPF, Microsoft Office 365, Slack, WordPress.org, Google Tag Manager, YouTube, Apache, Nginx, Mobile Friendly, Remote, Facebook, Instagram, TikTok",,594000,"buddybrand GmbH is a creative agency based in Germany, with offices in Berlin and Frankfurt. Founded in 2010, the agency specializes in social media marketing, digital transformation, and influencer-first campaigns. It positions itself as a digital native agency, helping businesses navigate the social media landscape. The company employs between 10 to 49 people and generates approximately $5.2 million in revenue.

The agency offers a variety of services, including social media marketing, digital strategy planning, content marketing, and video production. It focuses on creating engaging, ""thumb-stopping content"" and emphasizes community and diversity in its initiatives. Notable clients include Xiaomi, Verivox, FitX, Yello Strom, Dr. Oetker Pizza, Red Bull, Deutsche Bahn, and smart, showcasing its expertise in delivering impactful social media campaigns.",2010,,,,,marketing & advertising,,"""Buddybrand ist eine Social Media und Influencer Agentur.""",,IM_FIRST_AGENCIES,,
Hyperiser,Hyperiser,11,marketing & advertising,http://www.hyperiser.com,http://www.linkedin.com/company/hyperiser,,,Turkey,Turkey,"advertising services, hyperscore, campaign performance, influencer impact metrics, influencer collaboration, b2b, marketing and advertising, social media analytics, influencer ranking, data-driven marketing, audience analysis, sector analysis, engagement score, brand affinity, influencer database, influencer trend analysis, services, content performance, machine learning, influencer growth, influencer content sensitivity, influencer performance score, influencer performance, content analysis, social media monitoring, sentiment analysis, influencer discovery, data analytics, influencer comparison, digital marketing, influencer market report, influencer analytics, content sentiment, influencer tracking, influencer industry benchmarks, influencer content analysis, influencer segmentation, advertising agencies, influencer audience intersection, campaign optimization, influencer campaign roi, content categories, audience demographics, influencer platform integration, consulting, influencer marketing, influencer identification, hashtag analysis, influencer data, marketing & advertising, artificial intelligence, information technology & services, consumer internet, consumers, internet",'+90 546 581 8691,"Outlook, Amazon AWS, Slack, Mobile Friendly, Bootstrap Framework, Google Tag Manager, Facebook Login (Connect), Gunicorn, Facebook Custom Audiences, Linkedin Marketing Solutions, WordPress.org, Facebook Widget, Django",,,"We've developed an innovative technology that makes the influencer marketing industry fair and transparent.
Hyperiser's goal is to help marketers create outstanding and effective influencer marketing campaigns using a data-driven approach.",2020,,,,,marketing & advertising,,"""data driven influencer marketing""",,IM_FIRST_AGENCIES,,
Iris Management,Iris Management,4,marketing & advertising,http://www.irismanagement.fr,http://www.linkedin.com/company/irismngmt,,,France,France,"marketing services, creative influencer campaigns, tiktok marketing, influence responsible development, influence transparente, influence marketing, authentic influencer marketing, content creation, content development, authentic influence, authentic marketing, marketing and advertising, influencer growth, social media influence, brand collaboration, exclusif creator network, content partnership, influencer marketing, content authenticity, influencer authenticity promotion, content experience creation, influencer management, influencer relations, influencer network, creative campaigns, content creator empowerment, digital marketing, tiktok influencer talent, influence ethics, social media marketing, services, brand awareness, influencer outreach, brand storytelling, influence impact awareness, brand influence strategy, influence responsable, influence ethics promotion, content strategy, brand strategy, talent management, influencer talent, advertising agencies, tiktok influence agency, creative influence campaigns, authentic brand influence, talent development, content creator development, influencer audience engagement, b2b, marketing & advertising, consumer internet, consumers, internet, information technology & services",,"Gmail, Google Apps, WordPress.org, Mobile Friendly, Google Font API",,,"Iris Management une agence d'influence experte TikTok composée d'une équipe d'experts passionnés, déterminés à faire de chaque créateur de contenus et marque, un acteur majeur de cette plateforme en constante évolution.

En tant qu'agence d'influence dédiée à TikTok, nous sommes les partenaires qui vous guident, inspirent, et défendent l'authenticité. 

Nous nous engageons à maximiser votre visibilité tout en construisant des collaborations durables. 
Pour Iris Management, chaque client possède un potentiel unique, et nous nous efforçons de le faire briller au grand jour.

Joignez-vous à nous dans cette aventure passionnante. 
Ensemble, créons l'avenir de l'influence sur TikTok  🚀

📩 contact@irismanagement.fr",,,,,,marketing & advertising,,"""notre mission est de guider les marques dans leur stratégie d’influence en faisant appel à nos profils exclusifs et notre vaste réseau de créateurs de contenu.""",,IM_FIRST_AGENCIES,,
XO Agency,XO Agency,13,marketing & advertising,http://www.xoagency.co,http://www.linkedin.com/company/xoagenc%d1%83,,,United States,United States,"bloggers, business, influencer marketing, creative, advertising, music, production, advertising services, marketing & advertising",,"Mobile Friendly, DoubleClick, Google AdSense, Nginx",,,"XO is an advertising agency that specializes in influencer marketing. To be honest, we are true fans of our business and know literally everything about influencers! Back in 2017, Mary Senn and Gary Grey founded XO. They started with YouTube videos, then filmed the first family reality show. In 2020 they created TikTok house called XO Team.

Today we are one of the leaders in the global influencer market! We ran many advertising campaigns with the brands such as: Coca-Cola, Lay`s, Lacoste, Levi`s, NYX, Hugo Boss etc. We raised many talented influencers, created the most popular Tik Tok house in the world, recorded many tracks and continue producing influencers, shoot reality shows and collaborate with the most famous global brands.",2017,,,,13,marketing & advertising,,"""XO is an advertising agency that specializes in influencer marketing.""",,IM_FIRST_AGENCIES,US,
Peersway,Peersway,7,marketing & advertising,http://www.peersway.com,http://www.linkedin.com/company/peersway,,Toronto,Canada,"229 Niagara St, Toronto, Ontario, Canada, M6J 2L5","nano influencers, social media marketing, wordofmouth marketing, micro influencers, instagram, influencer marketing, advertising services, consumer internet, consumers, internet, information technology & services, marketing & advertising",'+1 647-539-0605,"Gmail, Google Apps, Slack, Nginx, Google Tag Manager, Gravity Forms, Mobile Friendly, WordPress.org, Micro, Android, Circle, Remote, AI",,,"We are a startup based in Toronto which provides a completely new marketing channel for brands and agencies. Instead of working with few big influencers, Peersway allows you to work with hundreds of 'Nano influencers' for the same cost.

'Nano influencers' have smaller following on social media (often less than 10k followers), which means they mostly promote to their friends, families and acquaintances. Due to the personal nature of their connections, Peersway influencers deliver higher engagement while charging much less than big influencers. 

We provide a turn-key solution where we handle every aspect of the influencer campaign including shortlisting users, communicating requirements, reviewing Instagram posts and handling payments.",2016,,,,,,,,,IM_FIRST_AGENCIES,,
RQ,RQ,86,marketing & advertising,http://www.rqagency.com,http://www.linkedin.com/company/rq-media-group,,,United States,United States,"advertising services, brand storytelling, viral campaigns, content creation, data-driven insights, b2c, trend activation, content series with celebrities, cultural trend activation, advertising agencies, relationship intelligence, the hut crew, advertising & marketing, house of the dragon campaign, social media management, content strategy, influencer network cultivation, reaction engine, services, media & content production, brand activation, crisis management, brand strategy, media strategy, spike sessions, influencer networks, branding, cultural marketing, fan engagement campaigns, content series, impactful campaigns, creative development, authentic brand narratives, audience engagement, partnership development, cultural impact measurement, brand loyalty, brand embedding, cultural impact, audience insights, influencer partnerships, retail, influence management, influencer engagement, cultural dialogue, real-time campaigns, influencer marketing, cultural trends, authentic connections, brand awareness, social media strategy, cultural relevance, community building, storytelling, experiential marketing, digital marketing, content production, marketing & advertising",'+1 323-659-0000,"Gmail, Google Apps, Webflow, Salesforce, YouTube, Squarespace ECommerce, Vimeo, Mobile Friendly, Remote, Circle, AI",,,"RQ Agency is an independent, full-service brand marketing agency based in Los Angeles, California, founded in 2016. The agency specializes in ""Relationship Intelligence,"" helping brands connect with contemporary culture through authentic relationships. RQ employs a team of 10-81 people and generates approximately $6 million in annual revenue. 

The agency offers a range of services, including strategy development, creative content production, influencer management, and experiential marketing. RQ is known for its proprietary Reaction Engine™, an AI-powered tool that assists brands in trend-spotting and cultural analysis. The agency has collaborated with notable global brands across various sectors, including entertainment giants like HBO and Netflix, tech leaders such as Google and YouTube, and consumer brands like Papa Johns and Bud Light. RQ is committed to delivering agile and culturally relevant marketing solutions that drive both immediate and long-term impact.",2016,,,,87,marketing & advertising,,"RQ specializes in influencer management and emphasizes their expertise in connecting brands with contemporary culture through authentic relationships, indicating a strong focus on influencer campaigns",,IM_FIRST_AGENCIES,US,
GGWP,GGWP,11,marketing & advertising,http://www.goodgamewellplayed.co.za,http://www.linkedin.com/company/ggwp,,,South Africa,South Africa,"influencer marketing, content creation, marketing, gaming, advertising services, games, marketing & advertising",'+27 83 278 4594,,,,"Established in 2016, Good Game Well Played (GGWP) is a collaboration between HYH Marketing and Gareth Woods, a leading influencer within the E-sports arena. We seek to create content and marketing opportunities based on influencer research to connect brands to their consumers and major influencers, and amplify connection, all in the very exciting new realm of E-sports.",2016,,,,,,,,,IM_FIRST_AGENCIES,,
TDI Group,TDI Group,110,marketing & advertising,http://www.tdigroup.agency,http://www.linkedin.com/company/tdigroup,,,Belarus,Belarus,"event, design, gaming amp app, influencer marketing, creative, production, btl, smm, marketing, gaming app, arvrxr, media, onsulting, promo, digital, branding, online event, advertising services, marketing & advertising",'+375 17 396-67-83,Mobile Friendly,,,"TDI Group is a group of advertising companies.

TDI GROUP is the only integrator on the CIS advertising market who:
Embodied the philosophy of integration in the principle of ""one window""
Has all the necessary expertise: ATL, BTL, MEDIA, EVENTS, IT, DIGITAL
Provides a comprehensive integrated solution to all customer problems
Forms Agile-teams for the tasks of a specific project.

Any marketing tasks of the client!

CREATIVE
Trade Marketing
Advertising design
Branding
Packaging
PR
Consumer Marketing
Strategy
Production
AR, VR

DIGITAL

Digital creativity and strategy
Influencer marketing
Digital Media, OLV, Social Targeted Ad placement, Native Programmatic
Personalized videos
CMM
Website development and maintenance
Adaptive layout
Application development and adaptation

ONLINE EVENT PLATFORM

Own IT product that allows you to conduct events online or in a hybrid format:
Conferences
Corporate events
Exhibitions
Presentations
MICE
Road show
Concerts

150+ employees in all divisions of the TDI group of companies
12+ employees of the creative department, including 6 creative directors
25 designers and art directors
50+ customer service employees
20+ specialists in the Digital
20+ IT specialists on IT projects
2 producers on staff
And 30+ specialists in other departments.",2006,,,,,,,,,IM_FIRST_AGENCIES,,
