domain,company_name,segment,confidence,reasoning
growi.io,growi,INFLUENCER_PLATFORMS,1,Has product/platform for influencer marketing
insightiq.ai,InsightIQ,INFLUENCER_PLATFORMS,1,Has product/platform for influencer marketing
allymatic.com,allymatic,INFLUENCER_PLATFORMS,0.95,"Allymatic is explicitly described as a 'TikTok Creator Marketing Operations Platform' that helps brands discover, manage outreach, samples, content, and sales attribution for creators, directly matching the definition of a platform for influencer marketing."
kitbees.com,,INFLUENCER_PLATFORMS,0.95,"Kitbees is an AI-powered platform providing tools for influencer marketing, including creator discovery, campaign management, analytics, CRM, and affiliate tracking for brands and agencies."
hypefy.ai,Hypefy,INFLUENCER_PLATFORMS,0.95,"Hypefy explicitly states it is an 'Influencer Marketing Platform Powered By AI' and describes features like automated influencer selection, campaign setup, performance tracking, and a dashboard, clearly indicating it is a SaaS for influencer marketing."
getroeme.com,Roeme,INFLUENCER_PLATFORMS,0.95,"Roeme is a platform/app that connects wellness creators with brands for collaborations, explicitly mentioning a 'creator network' and 'community-driven app' for brands."
vhub.ai,vHub.ai,INFLUENCER_PLATFORMS,0.95,"vHub.ai explicitly states it is an 'Influencer Marketing Platform' offering an AI-powered suite of tools for creator discovery, campaign management, and analytics to brands and agencies. This directly aligns with the definition of SaaS/software for influencer marketing."
usetrendly.app,,INFLUENCER_PLATFORMS,0.95,"The company explicitly states it is an 'Influencer Marketing Platform', which directly aligns with the definition of a SaaS/software tool for influencer marketing."
kringp.com,,INFLUENCER_PLATFORMS,0.95,"KringP is explicitly described as an 'Influencer Marketing Platform' and 'global influencer marketplace' that provides tools for businesses to discover, connect with, analyze, and manage campaigns with creators, including analytics, filtering, and secure payments."
influencify.io,Influencify,INFLUENCER_PLATFORMS,0.95,"The company explicitly describes itself as an 'AI-powered Influencer Marketing Platform,' which directly aligns with the definition of a software product for influencer marketing."
sociocreator.com,SocioCreator,INFLUENCER_PLATFORMS,0.95,"The website explicitly states it is an 'Influencer Marketing Platform,' directly matching the target description of a SaaS tool for influencer marketing that helps brands with creators."
icollabs.com,icollabsindia,INFLUENCER_PLATFORMS,0.95,"The company explicitly states it is an 'influencer marketplace' and 'platform' designed to connect brands with creators. It offers tools for influencer discovery, campaign management, communication, payment processing, and performance tracking, fitting the definition of a SaaS tool for influencer marketing."
2ta.io,2TA.IO,INFLUENCER_PLATFORMS,0.95,"The company explicitly states it is an 'Influencer marketing platform' and offers tools for brands to find, analyze, contact, and manage campaigns with influencers, including a database of profiles, analytics, and a built-in chat. While it offers managed services, its core offering is a SaaS platform for influencer marketing."
whalargroup.com,Whalar Group,INFLUENCER_PLATFORMS,0.95,"Whalar Group is a 'Creator ecosystem' that includes 'Foam', a digital creator operating system for creators, managers, and brands, alongside creator agencies. The presence of a SaaS product (Foam) makes it an INFLUENCER_PLATFORMS target."
yadainfluencer.com,Yada Influencer,INFLUENCER_PLATFORMS,0.95,"Yada explicitly identifies itself as an 'Influencer Platform' and 'influencer marketing intelligence platform' offering tools for creator discovery, audience analytics, campaign management, and performance tracking, which directly matches the INFLUENCER_PLATFORMS segment."
starbuzz.ai,Starbuzz.ai,INFLUENCER_PLATFORMS,0.95,"Starbuzz.ai is an AI-powered influencer marketing platform offering a complete ecosystem for influencer discovery, campaign management, and analytics for brands and agencies. They would benefit from OnSocial's creator/influencer data to power their platform."
starnet.ai,,INFLUENCER_PLATFORMS,0.9,"The company's tagline 'Discover Right Influencers to make your Business Glow' clearly indicates a focus on influencer discovery, which is a core function of an influencer marketing platform. The '.ai' domain further suggests a technology-driven solution."
