domain,company_name,segment,confidence,reasoning
sociallypowerful.com,Socially Powerful,IM_FIRST_AGENCIES,1,"Apollo description indicates that the company is a global influencer marketing agency, specializing in influencer marketing and related services."
imfluence.ae,Imfluence,IM_FIRST_AGENCIES,1,Services 75% influencer-related
webimarketing.com,,IM_FIRST_AGENCIES,0.95,"The company explicitly identifies as an 'Influencer Marketing Agency' and its entire website content describes building and managing end-to-end influencer campaigns for brands, making it an influencer-first agency."
kreatornow.com,Kreatornow INC.,IM_FIRST_AGENCIES,0.95,The website explicitly states it is 'The Leading US-based Influencer Marketing Agency' and focuses on influencer marketing solutions for both brands and creators.
hyprclub.com,,IM_FIRST_AGENCIES,0.95,"The company explicitly identifies itself as an 'award-winning creator economy and influencer marketing agency' and all its services, case studies, and insights are dedicated to running creator campaigns and brand partnerships."
influencewala.com,,IM_FIRST_AGENCIES,0.9,"The company explicitly states 'Influencer Marketing 95 %' as its core focus, helps businesses with influencer marketing strategies, and connects influencers with brand deals. This clearly indicates an influencer-first agency model."
agenciagfm.com.br,,IM_FIRST_AGENCIES,0.9,"The company explicitly identifies as an 'Assessoria em Marketing de Influência' and 'Assessoria UGC para Empresas,' specializing in implementing and evaluating strategies with creators for e-commerce, indicating influencer campaigns are their primary business."
aisoll.com,,IM_FIRST_AGENCIES,0.9,"Aisoll is an agency focused entirely on data-driven influencer marketing campaigns for B2B, AI, and SaaS brands, providing services like creator matching and campaign execution across various social platforms."
rizzo.media,Rizzo Media,IM_FIRST_AGENCIES,0.9,"The company identifies as a 'digital marketing agency leading the creator economy' with a strong focus on influencer partnerships, UGC, and building a 'creator network' for brands."
refreshafrika.com,,IM_FIRST_AGENCIES,0.9,"The company is a 'brand management and cultural strategy firm' that explicitly lists 'Influencer Campaigns' as a core service, focusing on designing and managing end-to-end campaigns, connecting brands with creators, and building the creator economy."
evorramedia.com,,IM_FIRST_AGENCIES,0.9,Evorra Media explicitly identifies itself as a 'Talent and Influencer Marketing Agency' and its services are entirely focused on talent management and influencer-led campaigns for brands.
tersipumalu.com,,IM_FIRST_AGENCIES,0.9,"The company explicitly states it is a 'KOL Specialist Agency' and its services and case studies are entirely focused on managing and executing influencer/creator campaigns for brands, including micro-ambassador programs and affiliate-driven activations."
brightloop.click,,IM_FIRST_AGENCIES,0.9,"The company's core business is explicitly stated as 'Connecting Creators With Global Brands' and 'Helping creators grow with top-tier brands,' indicating a focus on influencer talent management and campaigns."
grassive.ca,,IM_FIRST_AGENCIES,0.9,"The company explicitly states 'INFLUENCER Marketing' as its core business and describes services for connecting brands with influencers and managing campaigns, indicating an influencer-first agency model."
afmagency.net,AFM Agency,IM_FIRST_AGENCIES,0.9,"The website explicitly identifies itself as a 'Top Creator Marketing Agency' and 'US NO.1 TikTok Creator Agency,' clearly indicating that influencer/creator marketing is its primary service."
theintermentalist.com,,IM_FIRST_AGENCIES,0.9,"The company explicitly states it is 'South India's top influencer marketing agency' and details its extensive network of content creators and influencers, indicating that creator campaigns are its primary business."
influence-space.com,,IM_FIRST_AGENCIES,0.9,"The company explicitly states it is a 'full-service influencer marketing agency' and its entire offering revolves around managing end-to-end influencer campaigns, including strategy, discovery, execution, and performance tracking. While they use a proprietary tool, their core business is providing agency services, not a SaaS platform."
kidding.at,,IM_FIRST_AGENCIES,0.9,"Kidding is an agency that connects brands with athletes and creators in the motorcycling niche, focusing on strategic partnerships, content, and talent management. Their core business is influencer/creator campaigns and talent representation."
seamgmnt.com,,IM_FIRST_AGENCIES,0.9,"The company is a 'Socially Engaged Agency' offering 360° talent management for social media creators, focusing on connecting them with brands for campaigns and partnerships. Its website is entirely dedicated to showcasing its managed creators and their successes."
socialcurrencyagency.com,,IM_FIRST_AGENCIES,0.9,"The company is an agency explicitly focused on providing marketing, PR, and visibility services for 'artists and creators,' indicating a primary business centered around creator talent and campaigns."
blazerocketmedia.com,,IM_FIRST_AGENCIES,0.9,"The company explicitly identifies itself as an 'Influencer Marketing Agency' focused on 'Creator Campaigns That Convert,' which directly aligns with the IM_FIRST_AGENCIES segment."
