candidate_segment,confidence,domain,name,country,employee_count,old_gpt_label,reasoning,linkedin_url,website_url
AI_CONTENT_MARKETING,0.9,liftapp.ai,"",,,AI_CONTENT_MARKETING,"Liftapp.ai is an AI-first SaaS platform providing tools for image generation and editing, explicitly for content creation across social media, ads, and e-commerce, which aligns with the AI_CONTENT_MARKETING segment. OnSocial data could enhance their AI models for audience-specific content generation and performance attribution.",,
AI_CONTENT_MARKETING,0.9,cosmicjs.com,"",,,AI_CONTENT_MARKETING,"Cosmic.js is an AI-powered headless CMS that automates content creation, application building, and workflows for marketing and development teams, directly fitting the description of an AI-first SaaS product for content generation.",,
AI_CONTENT_MARKETING,0.9,electricsheep.tv,"",,,AI_CONTENT_MARKETING,"The company provides an AI Video Editor & VFX Platform for Content Creation, which is an AI-first SaaS product for generating marketing content, fitting the AI_CONTENT_MARKETING segment.",,
AI_CONTENT_MARKETING,0.9,wellows.com,"",,,AI_CONTENT_MARKETING,"Wellows is an AI-first platform designed for brands to improve their visibility, positioning, and content performance within AI search engines and LLMs, offering AI-driven content generation and outreach intelligence for marketers.",,
AI_CONTENT_MARKETING,0.9,creaitor.ai,"",,,AI_CONTENT_MARKETING,"Creaitor is an AI-driven platform that helps marketing teams automate content creation, SEO, and content planning for blogs and social media, directly aligning with the AI_CONTENT_MARKETING segment's focus on AI/ML platforms for marketers.",,
AI_CONTENT_MARKETING,0.9,kiwiq.ai,"",,,AI_CONTENT_MARKETING,"KiwiQ.AI provides an 'AI-Native Content Operating System' that leverages AI for content creation and AEO (AI Engine Optimization) to help brands get cited by AI search engines like ChatGPT, directly targeting marketing teams.",,
AI_CONTENT_MARKETING,0.9,stockimg.ai,"",,,AI_CONTENT_MARKETING,"Stockimg AI is an AI-first SaaS product that generates various types of content (images, videos, social posts) for businesses and brands, including specific formats for Instagram and TikTok, and offers social media scheduling. This directly fits the AI_CONTENT_MARKETING segment, as creator/audience data would enhance its AI models for content generation and performance.",,
AI_CONTENT_MARKETING,0.9,abev.ai,"",,,AI_CONTENT_MARKETING,"Abev AI provides an AI-powered platform for social media automation, content creation (posts, images), and engagement, explicitly leveraging AI to assist marketing teams with their social media strategy.",,
AI_CONTENT_MARKETING,0.85,aivoicemagic.com,"",,,AI_CONTENT_MARKETING,"The company offers AI-powered 'employees' for sales, support, and marketing functions, including an 'AI Ads Specialist' for social media ad creation and optimization, and AI tools for Google reviews and business profiles, which are AI-first products for marketing teams.",,
AI_CONTENT_MARKETING,0.85,novaview.ai,"",,,AI_CONTENT_MARKETING,"NovaView is an AI-first SaaS platform providing brand intelligence and sentiment analysis from major AI models (ChatGPT, Claude, Gemini) to marketing teams. This directly aligns with the 'AI-first SaaS products for... brand intelligence... for marketers' description.",,
AI_CONTENT_MARKETING,0.85,kakiyo.com,"",,,AI_CONTENT_MARKETING,"Kakiyo is an AI-first SaaS platform that generates personalized LinkedIn messages and handles conversations at scale for sales, recruiting, and agencies. This aligns with AI-driven content creation and personalization for marketing teams, where creator data could enhance AI modeling and output quality.",,
AI_CONTENT_MARKETING,0.85,holyshift.ai,"",,,AI_CONTENT_MARKETING,"HolyShift.ai is an AI-first SaaS product designed for founders and marketers to validate product-market fit through AI-driven market research, engaging real people in communities, and generating marketing content like landing pages and pitch decks. This directly aligns with the AI_CONTENT_MARKETING segment's focus on AI/ML platforms for marketing teams and AI-driven market research.",,
CREATOR_PLATFORM,0.9,adamenfroy.com,"",,,CREATOR_PLATFORM,"This company provides courses, coaching, and a system for bloggers (creators) to launch, grow, and monetize their online businesses, including leveraging AI. It functions as a scaled creator education platform where the end-users are creators themselves.",,
CREATOR_PLATFORM,0.9,vylitworld.com,Vylit,,,CREATOR_PLATFORM,"Vylit is a platform designed for creators (18+) to express themselves, connect with fans, and utilize subscription features, directly aligning with the definition of a platform built for creators as end-users.",,
CREATOR_PLATFORM,0.9,spacetwo.xyz,"",,,CREATOR_PLATFORM,"SPACETWO is an all-in-one hub providing AI-powered tools, collaboration, and blockchain IP protection for creators to manage their projects, portfolios, and creative rights. Its core users are creators themselves, fitting the definition of a creator workflow and IP management platform.",,
CREATOR_PLATFORM,0.9,musuni.io,"",,,CREATOR_PLATFORM,"Musuni is an AI-powered career management platform built for music artists (creators), providing tools like analytics, content planning, smart links, and fan engagement to help them grow their audience and career.",,
CREATOR_PLATFORM,0.9,ecency.com,"",,,CREATOR_PLATFORM,"Ecency is a blockchain-based social network where creators are the primary users, enabling them to publish content, build communities, and earn digital tokens, fitting the description of a platform built for creators' success and monetization.",,
CREATOR_PLATFORM,0.9,blubrry.com,"",,,CREATOR_PLATFORM,"Blubrry is a podcast platform providing hosting, analytics, monetization tools, and an AI assistant specifically for podcasters, directly serving creators as their primary end-users.",,
CREATOR_PLATFORM,0.9,sparkloop.app,"",,,CREATOR_PLATFORM,"SparkLoop is a platform designed for newsletter operators (creators) to grow their audience through recommendations and referral programs, and to monetize their newsletters. This directly aligns with the 'newsletter growth tools' and 'monetization platforms for creators' aspects of the CREATOR_PLATFORM segment.",,
CREATOR_PLATFORM,0.85,mynameisbond.co,"",,,CREATOR_PLATFORM,"My Name is Bond provides an automated service to help clients (likely creators or businesses) grow their Instagram audience with targeted and qualified followers. This directly supports creators in understanding and expanding their reach, fitting the description of a platform built for creators as end-users.",,
CREATOR_PLATFORM,0.85,wifimoney.com,"",,,CREATOR_PLATFORM,"Wifi Money provides education and a program for individuals to monetize their social media presence and grow their audience, aligning with the definition of a creator education or monetization platform built for creators as end-users.",,
CREATOR_PLATFORM,0.85,marfeel.com,"",,,CREATOR_PLATFORM,"Marfeel provides a suite of solutions for publishers (large-scale creators) to manage content performance, grow audiences, and drive revenue across various channels, including social media. This aligns with a platform built for creators to understand and grow their audience and optimize monetization.",,
CREATOR_PLATFORM,0.85,easymailing.com,"",,,CREATOR_PLATFORM,"Easymailing is an email marketing and automation platform that explicitly targets 'Content Creators & Influencers' as a key user segment, providing tools for audience growth, engagement, and monetization through email newsletters and campaigns. This aligns with the definition of a platform built for creators as end-users to help them understand and grow their audience.",,
CREATOR_PLATFORM,0.85,dor.gg,"",,,CREATOR_PLATFORM,"DOR is an AI-powered gaming social platform where users (gamers/creators) can create, share, and connect, directly aligning with platforms built for creators as end-users.",,
CREATOR_PLATFORM,0.85,podzay.com,"",,,CREATOR_PLATFORM,"Podzay is an AI podcast matching platform that helps podcasters (creators) find guests and arrange interviews, serving as a workflow tool for content creation and collaboration among creators.",,
CREATOR_PLATFORM,0.8,wmasat.com,"",,,CREATOR_PLATFORM,"The company is a remote freelance platform where individuals (creators/freelancers) offer services like social media ad design and page management, which directly supports their monetization and workflow as creators.",,
LOYALTY_COMMUNITY,0.9,awerreviews.com,"",,,LOYALTY_COMMUNITY,"The platform collects consumer reviews and explicitly offers a 'Programa de Puntos' (Points Program) where users 'Ganá beneficios dejando tu opinión' (Earn benefits by leaving your opinion), indicating a loyalty/rewards mechanism for user-generated content.",,
LOYALTY_COMMUNITY,0.9,sweete.info,"",,,LOYALTY_COMMUNITY,"Sweete provides a mobile solution and platform for brands to design and manage customer loyalty and reward programs, including points-based systems, gamification, and incentives for purchases, referrals, and engagement, directly matching the LOYALTY_COMMUNITY segment.",,
LOYALTY_COMMUNITY,0.9,anglehq.com,"",,,LOYALTY_COMMUNITY,"Angle is a loyalty platform for Shopify brands, providing features like cash back, VIP tiers, and referral programs to reward and retain customers, which directly aligns with the LOYALTY_COMMUNITY segment.",,
LOYALTY_COMMUNITY,0.9,hediyemo.com,"",,,LOYALTY_COMMUNITY,"Hediyemo offers SaaS solutions for customer, employee, and sales channel loyalty management, including reward programs and platforms for brand ambassadors, which directly aligns with the LOYALTY_COMMUNITY segment.",,
LOYALTY_COMMUNITY,0.9,be2see.co.il,"",,,LOYALTY_COMMUNITY,"BE2SEE provides advanced marketing automation and data solutions, explicitly offering a 'Customer loyalty platform' and 'Loyalty programs service' to help organizations build and manage reward programs for repeat customers.",,
LOYALTY_COMMUNITY,0.9,defacto-loyalty.com,"",,,LOYALTY_COMMUNITY,"The company provides an 'End-to-End Loyalty Management Software' with a 'Rewards-Engine' and features for creating customer loyalty programs, including bonus rules and status levels, which directly aligns with platforms that reward and retain customers as advocates.",,
LOYALTY_COMMUNITY,0.9,rediem.co,"",,,LOYALTY_COMMUNITY,"Rediem is a platform for brands to build and manage loyalty programs and communities, rewarding customers for engagement, UGC, and referrals, including integrations with Instagram and TikTok challenges. This directly aligns with the LOYALTY_COMMUNITY segment's description and key test.",,
LOYALTY_COMMUNITY,0.9,rewardsbygcow.com,"",,,LOYALTY_COMMUNITY,"The company offers an API and platform for brands to implement instant digital gift card reward programs for customer loyalty, referrals, and employee engagement, which aligns with platforms that reward and activate customers-as-advocates.",,
